section,word,definition
2.1,server,"A computer used for running larger programs for multiple users, often simultaneously, and typically accessed only via a network."
2.1,supercomputer,A class of computers with the highest performance and cost; they are configured as servers and typically cost tens to hundreds of millions of dollars.
2.1,embeddded computer,A computer inside another device used for running one predetermined application or collection of software
2.1,Personal mobile devices (PMDs),"are small wireless devices to connect to the Internet; they rely on batteries for power, and software is installed by downloading apps. Conventional examples are smart phones and tablets."
2.1,cloud computing,refers to large collections of servers that provide services over the Internet; some providers rent dynamically varying numbers of servers as a utility.
2.1,software as a service (Saas),"delivers software and data as a service over the Internet, usually via a thin program such as a browser that runs on local client devices, instead of binary code that must be installed, and runs wholly on that device. Examples include web search and social networking."
2.1,multicore processor,"A microprocessor containing multiple processors (""cores"") in a single integrated circuit."
2.1,acronym,"A word constructed by taking the initial letters of a string of words. For example: RAM is an acronym for Random Access Memory, and CPU is an acronym for Central Processing Unit."
2.1,terabyte,"Originally 1,099,511,627,776 (240) bytes, although communications and secondary storage systems developers started using the term to mean 1,000,000,000,000 (1012) bytes. To reduce confusion, we now use the term tebibyte (TiB) for 240 bytes, defining terabyte (TB) to mean 1012 bytes. The figure below shows the full range of decimal and binary values and names."
2.3,systems software,"Software that provides services that are commonly useful, including operating systems, compilers, loaders, and assemblers."
2.3,operating system,Supervising program that manages the resources of a computer for the benefit of the programs that run on that computer.
2.3,compiler,A program that translates high-level language statements into assembly language statements.
2.3,binary digit,Also called a bit. One of the two numbers in base 2 (0 or 1) that are the components of information
2.3,instruction,A command that computer hardware understands and obeys.
2.3,assembler,A program that translates a symbolic version of instructions into the binary version.
2.3,assembly language,A symbolic representation of machine instructions.
2.3,machine language,A binary representation of machine instructions.
2.3,high-level programming language,"A portable language such as C, C++, Java, or Visual Basic that is composed of words and algebraic notation that can be translated by a compiler into assembly language."
2.4,input device,"A mechanism through which the computer is fed information, such as a keyboard."
2.4,output device,"A mechanism that conveys the result of a computation to a user, such as a display, or to another computer."
2.4,liquid crystal display,A display technology using a thin layer of liquid polymers that can be used to transmit or block light according to whether a charge is applied.
2.4,active matrix display,A liquid crystal display using a transistor to control the transmission of light at each individual pixel.
2.4,pixel,"The smallest individual picture element. Screens are composed of hundreds of thousands to millions of pixels, organized in a matrix."
2.4,integrated circuit,Also called a chip. A device combining dozens to millions of transistors.
2.4,central processor unit (CPU),"Also called processor. The active part of the computer, which contains the datapath and control and which adds numbers, tests numbers, signals I/O devices to activate, and so on."
2.4,datapath,The component of the processor that performs arithmetic operations.
2.4,control,"The component of the processor that commands the datapath, memory, and I/O devices according to the instructions of the program."
2.4,memory,The storage area in which programs are kept when they are running and that contains the data needed by the running programs.
2.4,Dynamic random access memory (DRAM),Memory built as an integrated circuit; it provides random access to any location. Access times are 50 nanoseconds and cost per gigabyte in 2012 was $5 to $10.
